transaction_id,date,item
A_TXN_0001,2023-01-13,Elden Ring OST
A_TXN_0001,2023-01-13,Civilization VI
A_TXN_0002,2023-03-13,Horizon Zero Dawn
A_TXN_0002,2023-03-13,God of War
A_TXN_0002,2023-03-13,Cyberpunk 2077
A_TXN_0003,2023-02-14,Planet Coaster
A_TXN_0003,2023-02-14,Hades OST
A_TXN_0003,2023-02-14,Hades
A_TXN_0003,2023-02-14,Among Us
A_TXN_0003,2023-02-14,Elden Ring
A_TXN_0004,2023-02-17,Horizon Zero Dawn
A_TXN_0004,2023-02-17,God of War
A_TXN_0005,2023-09-16,Counter-Strike 2
A_TXN_0005,2023-09-16,Valorant
A_TXN_0006,2023-11-05,Counter-Strike 2
A_TXN_0006,2023-11-05,Overwatch 2
A_TXN_0006,2023-11-05,Hades
A_TXN_0007,2023-04-12,Counter-Strike 2
A_TXN_0007,2023-04-12,Valorant
A_TXN_0008,2023-11-29,Overwatch 2
A_TXN_0008,2023-11-29,Total War: Warhammer III
A_TXN_0009,2023-12-26,Battlefield 2042
A_TXN_0010,2023-01-04,Hades
A_TXN_0010,2023-01-04,Cyberpunk 2077: Phantom Liberty DLC
A_TXN_0010,2023-01-04,Cyberpunk 2077
A_TXN_0011,2023-04-21,The Witcher 3
A_TXN_0011,2023-04-21,Cyberpunk 2077: Phantom Liberty DLC
A_TXN_0011,2023-04-21,Cyberpunk 2077
A_TXN_0012,2023-06-22,Cyberpunk 2077 OST
A_TXN_0012,2023-06-22,Cities: Skylines
A_TXN_0012,2023-06-22,Counter-Strike 2
A_TXN_0012,2023-06-22,Terraria
A_TXN_0012,2023-06-22,Red Dead Redemption 2
A_TXN_0012,2023-06-22,Overwatch 2
A_TXN_0013,2023-02-22,Call of Duty MW3
A_TXN_0014,2023-02-19,The Witcher 3: Blood and Wine DLC
A_TXN_0014,2023-02-19,The Witcher 3
A_TXN_0015,2023-06-26,Stardew Valley
A_TXN_0015,2023-06-26,Terraria
A_TXN_0016,2023-11-06,Battlefield 2042
A_TXN_0016,2023-11-06,Hollow Knight
A_TXN_0017,2023-01-23,Hades
A_TXN_0017,2023-01-23,Hades OST
A_TXN_0018,2023-10-02,Hades
A_TXN_0018,2023-10-02,The Witcher 3: Blood and Wine DLC
A_TXN_0018,2023-10-02,Elden Ring OST
A_TXN_0018,2023-10-02,Civilization VI: New Frontier Pass
A_TXN_0019,2023-07-13,Horizon Zero Dawn
A_TXN_0019,2023-07-13,God of War
A_TXN_0020,2023-05-31,Counter-Strike 2
A_TXN_0020,2023-05-31,Valorant
A_TXN_0021,2023-11-13,Planet Coaster
A_TXN_0021,2023-11-13,Ghost of Tsushima
A_TXN_0022,2023-07-05,Counter-Strike 2
A_TXN_0022,2023-07-05,Hollow Knight
A_TXN_0023,2023-12-27,Cities: Skylines
A_TXN_0024,2023-12-05,Stardew Valley
A_TXN_0024,2023-12-05,Stardew Valley OST
A_TXN_0025,2023-05-29,Horizon Zero Dawn
A_TXN_0025,2023-05-29,God of War
A_TXN_0025,2023-05-29,Cities: Skylines
A_TXN_0025,2023-05-29,Elden Ring
A_TXN_0026,2023-04-30,Total War: Warhammer III
A_TXN_0026,2023-04-30,Cyberpunk 2077
A_TXN_0026,2023-04-30,Among Us
A_TXN_0026,2023-04-30,Apex Legends
A_TXN_0027,2023-07-14,Elden Ring: Shadow of the Erdtree DLC
A_TXN_0028,2023-05-23,Counter-Strike 2
A_TXN_0028,2023-05-23,Cyberpunk 2077
A_TXN_0028,2023-05-23,Apex Legends
A_TXN_0029,2023-03-25,Civilization VI
A_TXN_0029,2023-03-25,Civilization VI: New Frontier Pass
A_TXN_0030,2023-04-18,Cyberpunk 2077: Phantom Liberty DLC
A_TXN_0030,2023-04-18,Call of Duty MW3
A_TXN_0030,2023-04-18,Cyberpunk 2077
A_TXN_0031,2023-12-26,Among Us
A_TXN_0032,2023-11-28,Hollow Knight
A_TXN_0032,2023-11-28,Total War: Warhammer III
A_TXN_0032,2023-11-28,Celeste
A_TXN_0032,2023-11-28,Call of Duty MW3
A_TXN_0033,2023-08-25,Elden Ring: Shadow of the Erdtree DLC
A_TXN_0033,2023-08-25,Cyberpunk 2077
A_TXN_0033,2023-08-25,Elden Ring
A_TXN_0034,2023-12-17,Elden Ring: Shadow of the Erdtree DLC
A_TXN_0034,2023-12-17,Elden Ring
A_TXN_0035,2023-01-29,Counter-Strike 2
A_TXN_0035,2023-01-29,The Witcher 3: Blood and Wine DLC
A_TXN_0035,2023-01-29,Battlefield 2042
A_TXN_0036,2023-01-17,Counter-Strike 2
A_TXN_0036,2023-01-17,Valorant
A_TXN_0037,2023-06-11,Counter-Strike 2
A_TXN_0037,2023-06-11,God of War
A_TXN_0037,2023-06-11,Death Stranding
A_TXN_0037,2023-06-11,Cyberpunk 2077
A_TXN_0038,2023-02-03,Cities: Skylines
A_TXN_0038,2023-02-03,Cyberpunk 2077: Phantom Liberty DLC
