transaction_id,date,item
B_TXN_0001,2023-02-14,Disco Elysium
B_TXN_0001,2023-02-14,Undertale
B_TXN_0002,2023-12-05,Hollow Knight
B_TXN_0002,2023-12-05,Axiom Verge
B_TXN_0003,2023-09-03,Axiom Verge
B_TXN_0003,2023-09-03,Ori and the Blind Forest
B_TXN_0003,2023-09-03,Dead Cells
B_TXN_0004,2023-02-11,Cuphead OST
B_TXN_0004,2023-02-11,Undertale
B_TXN_0004,2023-02-11,Omori
B_TXN_0004,2023-02-11,Terraria
B_TXN_0004,2023-02-11,Disco Elysium
B_TXN_0004,2023-02-11,Deltarune
B_TXN_0004,2023-02-11,Undertale OST
B_TXN_0005,2023-07-23,Nuclear Throne
B_TXN_0005,2023-07-23,Enter the Gungeon
B_TXN_0006,2023-12-05,Celeste
B_TXN_0006,2023-12-05,Enter the Gungeon
B_TXN_0006,2023-12-05,Terraria
B_TXN_0006,2023-12-05,Binding of Isaac: Rebirth
B_TXN_0007,2023-11-25,Cuphead
B_TXN_0007,2023-11-25,Cuphead: The Delicious Last Course DLC
B_TXN_0008,2023-04-05,Binding of Isaac: Rebirth
B_TXN_0008,2023-04-05,Binding of Isaac: Afterbirth+ DLC
B_TXN_0009,2023-01-23,Cuphead OST
B_TXN_0009,2023-01-23,Cuphead
B_TXN_0009,2023-01-23,Celeste
B_TXN_0009,2023-01-23,Cuphead: The Delicious Last Course DLC
B_TXN_0010,2023-08-27,Undertale
B_TXN_0010,2023-08-27,Undertale OST
B_TXN_0011,2023-10-16,Hades
B_TXN_0011,2023-10-16,Dead Cells
B_TXN_0012,2023-12-23,Stardew Valley
B_TXN_0012,2023-12-23,Terraria
B_TXN_0013,2023-10-05,Hades
B_TXN_0013,2023-10-05,Risk of Rain 2
B_TXN_0013,2023-10-05,Dead Cells
B_TXN_0014,2023-02-01,Cuphead OST
B_TXN_0014,2023-02-01,Cuphead
B_TXN_0015,2023-09-01,Undertale
B_TXN_0015,2023-09-01,Omori
B_TXN_0016,2023-07-22,Cuphead OST
B_TXN_0016,2023-07-22,Cuphead
B_TXN_0016,2023-07-22,Disco Elysium
B_TXN_0016,2023-07-22,Cuphead: The Delicious Last Course DLC
B_TXN_0017,2023-01-18,Dead Cells: Fatal Falls DLC
B_TXN_0017,2023-01-18,Undertale OST
B_TXN_0018,2023-12-13,Axiom Verge
B_TXN_0018,2023-12-13,Celeste
B_TXN_0019,2023-03-17,Nuclear Throne
B_TXN_0019,2023-03-17,Omori
B_TXN_0020,2023-08-18,Axiom Verge
B_TXN_0020,2023-08-18,Enter the Gungeon
B_TXN_0020,2023-08-18,Binding of Isaac: Afterbirth+ DLC
B_TXN_0020,2023-08-18,Disco Elysium
B_TXN_0020,2023-08-18,Binding of Isaac: Rebirth
B_TXN_0021,2023-04-19,Enter the Gungeon
B_TXN_0021,2023-04-19,Risk of Rain 2
B_TXN_0022,2023-08-11,Undertale
B_TXN_0022,2023-08-11,Undertale OST
B_TXN_0023,2023-03-17,Enter the Gungeon
B_TXN_0023,2023-03-17,Risk of Rain 2
B_TXN_0024,2023-05-13,Axiom Verge
B_TXN_0024,2023-05-13,Binding of Isaac: Rebirth
B_TXN_0024,2023-05-13,Deltarune
B_TXN_0024,2023-05-13,Cuphead: The Delicious Last Course DLC
B_TXN_0025,2023-02-04,Cuphead OST
B_TXN_0025,2023-02-04,Cuphead
B_TXN_0025,2023-02-04,Risk of Rain 2
B_TXN_0026,2023-10-12,Hades
B_TXN_0026,2023-10-12,Celeste
B_TXN_0026,2023-10-12,Celeste OST
B_TXN_0027,2023-06-16,Shovel Knight
B_TXN_0027,2023-06-16,Deltarune
B_TXN_0027,2023-06-16,Stardew Valley
B_TXN_0027,2023-06-16,Terraria
B_TXN_0028,2023-09-24,Hades OST
B_TXN_0028,2023-09-24,Terraria
B_TXN_0029,2023-12-25,Hollow Knight
B_TXN_0029,2023-12-25,Stardew Valley
B_TXN_0029,2023-12-25,Risk of Rain 2
B_TXN_0030,2023-09-25,Axiom Verge
B_TXN_0030,2023-09-25,Omori
B_TXN_0031,2023-02-27,Omori
B_TXN_0032,2023-08-01,Shovel Knight
B_TXN_0032,2023-08-01,Deltarune
B_TXN_0033,2023-10-18,Hollow Knight
B_TXN_0033,2023-10-18,Hollow Knight OST
B_TXN_0034,2023-02-21,Risk of Rain 2
B_TXN_0034,2023-02-21,Nuclear Throne
B_TXN_0034,2023-02-21,Enter the Gungeon
B_TXN_0034,2023-02-21,Dead Cells: Fatal Falls DLC
B_TXN_0034,2023-02-21,Hades
B_TXN_0035,2023-10-16,Deltarune
B_TXN_0035,2023-10-16,Stardew Valley
B_TXN_0035,2023-10-16,Risk of Rain 2
B_TXN_0035,2023-10-16,Terraria
B_TXN_0036,2023-10-02,Risk of Rain 2
B_TXN_0037,2023-10-20,Undertale
B_TXN_0037,2023-10-20,Omori
B_TXN_0038,2023-01-20,Hades
B_TXN_0038,2023-01-20,Stardew Valley
B_TXN_0039,2023-07-26,Hades
B_TXN_0039,2023-07-26,Dead Cells: Fatal Falls DLC
B_TXN_0039,2023-07-26,Dead Cells
B_TXN_0040,2023-11-08,Hades
B_TXN_0040,2023-11-08,Hades OST
B_TXN_0041,2023-07-25,Hades
B_TXN_0041,2023-07-25,Risk of Rain 2
B_TXN_0041,2023-07-25,Deltarune
B_TXN_0042,2023-06-19,Celeste
B_TXN_0042,2023-06-19,Cuphead: The Delicious Last Course DLC
B_TXN_0042,2023-06-19,Terraria
B_TXN_0042,2023-06-19,Cuphead
B_TXN_0042,2023-06-19,Hades
B_TXN_0043,2023-12-20,Shovel Knight
B_TXN_0044,2023-05-02,Shovel Knight
B_TXN_0045,2023-09-01,Hollow Knight
B_TXN_0045,2023-09-01,Hollow Knight OST
B_TXN_0046,2023-07-10,Hades
B_TXN_0046,2023-07-10,Binding of Isaac: Rebirth
B_TXN_0046,2023-07-10,Cuphead: The Delicious Last Course DLC
B_TXN_0047,2023-01-11,Cuphead OST
B_TXN_0047,2023-01-11,Ori and the Blind Forest
B_TXN_0047,2023-01-11,Shovel Knight
B_TXN_0047,2023-01-11,Risk of Rain 2
B_TXN_0048,2023-06-22,Shovel Knight
B_TXN_0048,2023-06-22,Hollow Knight OST
B_TXN_0049,2023-05-24,Nuclear Throne
B_TXN_0049,2023-05-24,Enter the Gungeon
B_TXN_0050,2023-12-23,Risk of Rain 2
B_TXN_0050,2023-12-23,Celeste
B_TXN_0050,2023-12-23,Undertale OST
B_TXN_0050,2023-12-23,Cuphead: The Delicious Last Course DLC
B_TXN_0051,2023-06-03,Hades
B_TXN_0051,2023-06-03,Cuphead OST
B_TXN_0051,2023-06-03,Risk of Rain 2
B_TXN_0052,2023-08-02,Cuphead: The Delicious Last Course DLC
B_TXN_0052,2023-08-02,Undertale
B_TXN_0052,2023-08-02,Enter the Gungeon
B_TXN_0052,2023-08-02,Disco Elysium
B_TXN_0052,2023-08-02,Hollow Knight
B_TXN_0053,2023-07-28,Celeste
B_TXN_0053,2023-07-28,Celeste OST
B_TXN_0054,2023-09-22,Hollow Knight OST
B_TXN_0054,2023-09-22,Deltarune
B_TXN_0055,2023-01-29,Axiom Verge
B_TXN_0055,2023-01-29,Celeste
B_TXN_0055,2023-01-29,Stardew Valley
B_TXN_0056,2023-03-23,Risk of Rain 2
B_TXN_0056,2023-03-23,Enter the Gungeon
B_TXN_0056,2023-03-23,Disco Elysium
B_TXN_0056,2023-03-23,Deltarune
B_TXN_0056,2023-03-23,Binding of Isaac: Rebirth
B_TXN_0056,2023-03-23,Ori and the Blind Forest
B_TXN_0056,2023-03-23,Shovel Knight
B_TXN_0057,2023-09-26,Hades
B_TXN_0057,2023-09-26,Hades OST
B_TXN_0058,2023-01-30,Hollow Knight
B_TXN_0058,2023-01-30,Celeste
B_TXN_0058,2023-01-30,Ori and the Blind Forest
B_TXN_0059,2023-08-22,Binding of Isaac: Rebirth
B_TXN_0059,2023-08-22,Hades OST
B_TXN_0059,2023-08-22,Binding of Isaac: Afterbirth+ DLC
B_TXN_0060,2023-07-04,Undertale
B_TXN_0060,2023-07-04,Deltarune
B_TXN_0061,2023-08-26,Nuclear Throne
B_TXN_0061,2023-08-26,Enter the Gungeon
B_TXN_0062,2023-01-16,Cuphead OST
B_TXN_0062,2023-01-16,Cuphead
B_TXN_0062,2023-01-16,Undertale
B_TXN_0062,2023-01-16,Cuphead: The Delicious Last Course DLC
B_TXN_0063,2023-08-31,Celeste
B_TXN_0063,2023-08-31,Cuphead: The Delicious Last Course DLC
B_TXN_0063,2023-08-31,Cuphead
B_TXN_0063,2023-08-31,Stardew Valley
B_TXN_0063,2023-08-31,Dead Cells
B_TXN_0064,2023-06-29,Celeste OST
B_TXN_0065,2023-05-13,Hollow Knight
B_TXN_0065,2023-05-13,Undertale
B_TXN_0065,2023-05-13,Nuclear Throne
B_TXN_0065,2023-05-13,Binding of Isaac: Afterbirth+ DLC
B_TXN_0066,2023-12-19,Celeste
B_TXN_0066,2023-12-19,Stardew Valley
B_TXN_0067,2023-01-15,Celeste
B_TXN_0067,2023-01-15,Stardew Valley
B_TXN_0067,2023-01-15,Terraria
B_TXN_0067,2023-01-15,Dead Cells
B_TXN_0068,2023-03-25,Hollow Knight
B_TXN_0068,2023-03-25,Cuphead
B_TXN_0068,2023-03-25,Cuphead: The Delicious Last Course DLC
B_TXN_0069,2023-04-20,Stardew Valley
B_TXN_0070,2023-11-28,Hollow Knight
B_TXN_0070,2023-11-28,Ori and the Blind Forest
B_TXN_0070,2023-11-28,Shovel Knight
B_TXN_0070,2023-11-28,Terraria
B_TXN_0071,2023-04-16,Enter the Gungeon
B_TXN_0071,2023-04-16,Stardew Valley
B_TXN_0071,2023-04-16,Terraria
B_TXN_0071,2023-04-16,Binding of Isaac: Rebirth
B_TXN_0072,2023-07-29,Hollow Knight
B_TXN_0072,2023-07-29,Ori and the Blind Forest
B_TXN_0073,2023-12-16,Hades
B_TXN_0074,2023-03-09,Binding of Isaac: Rebirth
B_TXN_0074,2023-03-09,Undertale OST
B_TXN_0074,2023-03-09,Binding of Isaac: Afterbirth+ DLC
B_TXN_0075,2023-01-05,Hades
B_TXN_0075,2023-01-05,Cuphead: The Delicious Last Course DLC
B_TXN_0075,2023-01-05,Dead Cells
B_TXN_0076,2023-11-08,Nuclear Throne
B_TXN_0076,2023-11-08,Stardew Valley
B_TXN_0076,2023-11-08,Terraria
B_TXN_0077,2023-06-06,Binding of Isaac: Rebirth
B_TXN_0077,2023-06-06,Celeste
B_TXN_0077,2023-06-06,Binding of Isaac: Afterbirth+ DLC
B_TXN_0077,2023-06-06,Cuphead: The Delicious Last Course DLC
B_TXN_0078,2023-05-21,Axiom Verge
B_TXN_0078,2023-05-21,Risk of Rain 2
B_TXN_0079,2023-08-27,Axiom Verge
B_TXN_0079,2023-08-27,Celeste
B_TXN_0079,2023-08-27,Terraria
B_TXN_0079,2023-08-27,Hollow Knight
B_TXN_0079,2023-08-27,Ori and the Blind Forest
B_TXN_0079,2023-08-27,Dead Cells
B_TXN_0080,2023-11-16,Hades
B_TXN_0080,2023-11-16,Cuphead
B_TXN_0080,2023-11-16,Dead Cells: Fatal Falls DLC
B_TXN_0080,2023-11-16,Dead Cells
B_TXN_0081,2023-02-22,Cuphead
B_TXN_0081,2023-02-22,Celeste
B_TXN_0081,2023-02-22,Celeste OST
